"","dates","pos_mean","pos_lb","pos_ub","region"
"410",2021-07-03,99.5848542706342,99.3050780446021,99.8463901689708,"london"
"411",2021-07-04,99.68621068053,99.4395142456796,99.8669328010645,"london"
"412",2021-07-05,99.7046743074072,99.4328922495274,99.8970930010498,"london"
"413",2021-07-06,99.7210712027699,99.4498518831993,99.885801294252,"london"
"414",2021-07-07,99.7492748426352,99.5326392047804,99.893730074389,"london"
"415",2021-07-08,99.7843353985128,99.5997536945813,99.9352331606218,"london"
"416",2021-07-09,99.7877962287992,99.6206733048838,99.9230380510796,"london"
"417",2021-07-10,99.8148286026924,99.6518105849582,99.9320344358858,"london"
"418",2021-07-11,99.8359425622068,99.6561650578321,99.955035971223,"london"
"419",2021-07-12,99.8477968865334,99.721269296741,99.9580008399832,"london"
"420",2021-07-13,99.8189519754964,99.6850889797766,99.9141778235496,"london"
"421",2021-07-14,99.841295898766,99.7176850171406,99.9301432064268,"london"
"422",2021-07-15,99.8915961243883,99.7937080969572,99.9664879356568,"london"
"423",2021-07-16,99.8793415162428,99.7647796769641,99.9703308114523,"london"
"424",2021-07-17,99.9026641215104,99.8105761641673,99.9846508058327,"london"
"425",2021-07-18,99.905884930324,99.8095543742712,99.971035246974,"london"
"426",2021-07-19,99.9149271860261,99.8222222222222,99.9823078450122,"london"
"427",2021-07-20,99.9240473432538,99.8505008222455,99.9842470069313,"london"
"428",2021-07-21,99.9282963751165,99.8389953308646,99.9836734693878,"london"
"429",2021-07-22,99.917362913528,99.8239746523499,99.9826102777757,"london"
"430",2021-07-23,99.9351622514143,99.8237022526934,99.985067940869,"london"
"431",2021-07-24,99.9472336915196,99.8655010087424,100,"london"
"432",2021-07-25,99.925693379626,99.8551024632581,99.9691239181331,"london"
"433",2021-07-26,99.9355103708299,99.8639455782313,99.9823602046216,"london"
"434",2021-07-27,99.9583543892929,99.870322341608,100,"london"
"435",2021-07-28,99.9608264801612,99.9016715830875,100,"london"
"436",2021-07-29,99.9630005890341,99.8842018196857,100,"london"
"437",2021-07-30,99.9653537902705,99.9073387694588,100,"london"
"438",2021-07-31,99.9660545122764,99.8826291079812,100,"london"
"439",2021-03-08,0,0,0,"north_east_and_yorkshire"
"440",2021-03-09,0,0,0,"north_east_and_yorkshire"
"441",2021-03-10,0,0,0,"north_east_and_yorkshire"
"442",2021-03-11,0,0,0,"north_east_and_yorkshire"
"443",2021-03-12,0,0,0,"north_east_and_yorkshire"
"444",2021-03-13,0,0,0,"north_east_and_yorkshire"
"445",2021-03-14,0,0,0,"north_east_and_yorkshire"
"446",2021-03-15,0,0,0,"north_east_and_yorkshire"
"447",2021-03-16,0,0,0,"north_east_and_yorkshire"
"448",2021-03-17,0,0,0,"north_east_and_yorkshire"
"449",2021-03-18,0,0,0,"north_east_and_yorkshire"
"450",2021-03-19,0,0,0,"north_east_and_yorkshire"
"451",2021-03-20,0,0,0,"north_east_and_yorkshire"
"452",2021-03-21,0,0,0,"north_east_and_yorkshire"
"453",2021-03-22,0,0,0,"north_east_and_yorkshire"
"454",2021-03-23,0,0,0,"north_east_and_yorkshire"
"455",2021-03-24,0,0,0,"north_east_and_yorkshire"
"456",2021-03-25,0,0,0,"north_east_and_yorkshire"
"457",2021-03-26,0,0,0,"north_east_and_yorkshire"
"458",2021-03-27,0,0,0,"north_east_and_yorkshire"
"459",2021-03-28,0,0,0,"north_east_and_yorkshire"
"460",2021-03-29,0,0,0,"north_east_and_yorkshire"
"461",2021-03-30,0,0,0,"north_east_and_yorkshire"
"462",2021-03-31,0,0,0,"north_east_and_yorkshire"
"463",2021-04-01,0,0,0,"north_east_and_yorkshire"
"464",2021-04-02,0,0,0,"north_east_and_yorkshire"
"465",2021-04-03,0,0,0,"north_east_and_yorkshire"
"466",2021-04-04,0,0,0,"north_east_and_yorkshire"
"467",2021-04-05,0,0,0,"north_east_and_yorkshire"
"468",2021-04-06,0,0,0,"north_east_and_yorkshire"
"469",2021-04-07,0,0,0,"north_east_and_yorkshire"
"470",2021-04-08,0,0,0,"north_east_and_yorkshire"
"471",2021-04-09,0,0,0,"north_east_and_yorkshire"
"472",2021-04-10,0,0,0,"north_east_and_yorkshire"
"473",2021-04-11,0,0,0,"north_east_and_yorkshire"
"474",2021-04-12,0,0,0,"north_east_and_yorkshire"
"475",2021-04-13,0,0,0,"north_east_and_yorkshire"
"476",2021-04-14,0,0,0,"north_east_and_yorkshire"
"477",2021-04-15,0,0,0,"north_east_and_yorkshire"
"478",2021-04-16,0.00157278161856857,0,0,"north_east_and_yorkshire"
"479",2021-04-17,0.0113628740030806,0,0.187265917602997,"north_east_and_yorkshire"
"480",2021-04-18,0.0387093025119255,0,0.414078674948237,"north_east_and_yorkshire"
"481",2021-04-19,0.268215059076778,0.100100100100098,0.731282292707223,"north_east_and_yorkshire"
"482",2021-04-20,0.394599976577816,0.111856823266221,0.831353919239908,"north_east_and_yorkshire"
"483",2021-04-21,0.511171201998553,0.21786492374728,1.00267530179921,"north_east_and_yorkshire"
"484",2021-04-22,0.72667536801657,0.260629233122133,1.32890365448505,"north_east_and_yorkshire"
"485",2021-04-23,0.804315602139404,0.258732212160417,1.50955075299923,"north_east_and_yorkshire"
"486",2021-04-24,1.32916316711583,0.654735242618363,2.18682672371402,"north_east_and_yorkshire"
"487",2021-04-25,1.53419274432519,0.872093023255816,2.60663507109005,"north_east_and_yorkshire"
"488",2021-04-26,1.96215837594116,1.13250283125708,2.96333057623381,"north_east_and_yorkshire"
"489",2021-04-27,2.11732885806884,1.1015911872705,3.48557808917362,"north_east_and_yorkshire"
"490",2021-04-28,2.85411875404953,1.79425837320574,4.09137608966376,"north_east_and_yorkshire"
"491",2021-04-29,3.16432566150753,1.94730813287515,4.63216228641484,"north_east_and_yorkshire"
"492",2021-04-30,4.17118925308193,2.71966527196653,5.79710144927537,"north_east_and_yorkshire"
"493",2021-05-01,4.71318619183226,3.17679558011049,6.50969529085873,"north_east_and_yorkshire"
"494",2021-05-02,5.65558687748933,3.75586854460094,8.01689301398679,"north_east_and_yorkshire"
"495",2021-05-03,6.18127444416095,4.03022670025189,8.28967366134619,"north_east_and_yorkshire"
"496",2021-05-04,7.12271957136757,5.4945054945055,9.04255319148937,"north_east_and_yorkshire"
"497",2021-05-05,8.12515772741979,6.10599078341014,10.9872611464968,"north_east_and_yorkshire"
"498",2021-05-06,10.0395331584665,7.3045267489712,12.8983308042489,"north_east_and_yorkshire"
"499",2021-05-07,10.5416320232593,8.24615514618895,13.6283185840708,"north_east_and_yorkshire"
"500",2021-05-08,12.6877534626759,9.24702774108322,16.504854368932,"north_east_and_yorkshire"
"501",2021-05-09,14.6392235488555,11.8421052631579,18.0005169867061,"north_east_and_yorkshire"
"502",2021-05-10,15.7321593592561,12.5,19.9685534591195,"north_east_and_yorkshire"
"503",2021-05-11,17.7070940096874,14.3061516452074,21.7753120665742,"north_east_and_yorkshire"
"504",2021-05-12,20.7902928880981,16.8437025796662,25.521210248475,"north_east_and_yorkshire"
"505",2021-05-13,22.7713111551625,18.8899655505965,27.3425499231951,"north_east_and_yorkshire"
"506",2021-05-14,24.5892115411792,21.2669683257919,29.7169811320755,"north_east_and_yorkshire"
"507",2021-05-15,28.2191045665159,23.5609103078983,33.3969465648855,"north_east_and_yorkshire"
"508",2021-05-16,30.0464928950046,26.020602173728,34.4116763946571,"north_east_and_yorkshire"
"509",2021-05-17,33.8514881676467,29.9474605954466,38.6313748797192,"north_east_and_yorkshire"
"510",2021-05-18,35.6457971289881,31.1216429699842,40.4761904761905,"north_east_and_yorkshire"
"511",2021-05-19,40.4288899631482,36.0281195079086,44.8398067630145,"north_east_and_yorkshire"
"512",2021-05-20,45.7188299996404,40.695652173913,50.5564387917329,"north_east_and_yorkshire"
"513",2021-05-21,47.311724320998,42.7259601383141,51.745317781493,"north_east_and_yorkshire"
"514",2021-05-22,51.8443332233261,46.6772151898734,56.4516129032258,"north_east_and_yorkshire"
"515",2021-05-23,56.0305940057481,50.5434782608696,61.7471042471042,"north_east_and_yorkshire"
"516",2021-05-24,58.8868688347088,54.4885177453027,64.1109298531811,"north_east_and_yorkshire"
"517",2021-05-25,62.4754920813596,57.7391304347826,66.4676468714158,"north_east_and_yorkshire"
"518",2021-05-26,63.9417063200444,58.1981981981982,68.0882352941177,"north_east_and_yorkshire"
"519",2021-05-27,67.7591608611753,63.4895937562538,73.1466227347611,"north_east_and_yorkshire"
"520",2021-05-28,68.6837945274919,64.7279549718574,72.8813559322034,"north_east_and_yorkshire"
"521",2021-05-29,71.7720062151723,67.8237650200267,75.5649717514124,"north_east_and_yorkshire"
"522",2021-05-30,75.969995303606,72.3549488054608,78.7985865724382,"north_east_and_yorkshire"
"523",2021-05-31,76.7158599817852,72.845953002611,79.5180722891566,"north_east_and_yorkshire"
"524",2021-06-01,80.3150049352176,77.598385469223,83.1081081081081,"north_east_and_yorkshire"
"525",2021-06-02,84.1132521571076,81.2581913499345,86.6448776895722,"north_east_and_yorkshire"
"526",2021-06-03,85.475434786337,81.7204301075269,88.0093131548312,"north_east_and_yorkshire"
"527",2021-06-04,85.7711217282619,83.3902161547213,88.0245649948823,"north_east_and_yorkshire"
"528",2021-06-05,88.2760835916002,86.018111546597,90.4395604395604,"north_east_and_yorkshire"
"529",2021-06-06,90.0754805332649,87.5266524520256,92.2149122807018,"north_east_and_yorkshire"
"530",2021-06-07,91.5161400116334,89.3117408906883,93.4968017057569,"north_east_and_yorkshire"
"531",2021-06-08,92.0644316649038,90.4238618524333,93.586436419953,"north_east_and_yorkshire"
"532",2021-06-09,93.7083143823531,92.1077959576516,95.0360288230584,"north_east_and_yorkshire"
"533",2021-06-10,94.8009764521157,93.3828542698779,96.0342146189736,"north_east_and_yorkshire"
"534",2021-06-11,95.1154902707457,93.7896965419901,96.4630225080386,"north_east_and_yorkshire"
"535",2021-06-12,95.187692037585,94.1268598277212,96.2862930452397,"north_east_and_yorkshire"
"536",2021-06-13,96.3039887137848,95.1847704367301,97.3562458691342,"north_east_and_yorkshire"
"537",2021-06-14,97.1878068428585,96.3527851458886,97.9097300901094,"north_east_and_yorkshire"
"538",2021-06-15,97.3448952251956,96.2665406427221,98.0641592920354,"north_east_and_yorkshire"
"539",2021-06-16,97.8714807940186,97.2119936875329,98.4982208792064,"north_east_and_yorkshire"
"540",2021-06-17,98.1381207858022,97.410118037028,98.9053092501368,"north_east_and_yorkshire"
"541",2021-06-18,98.3361695335588,97.7357777672164,98.8222698072805,"north_east_and_yorkshire"
"542",2021-06-19,98.2955345523419,97.6599063962558,98.7689393939394,"north_east_and_yorkshire"
"543",2021-06-20,98.4126404795489,97.8649237472767,98.8382484361037,"north_east_and_yorkshire"
"544",2021-06-21,98.7778763731242,98.3583653510304,99.2214532871972,"north_east_and_yorkshire"
"545",2021-06-22,98.9750915840248,98.6089644513138,99.3187974528097,"north_east_and_yorkshire"
"546",2021-06-23,99.1140011714153,98.7281212948141,99.4558880684026,"north_east_and_yorkshire"
"547",2021-06-24,99.2110581423773,98.8740277356179,99.5937711577522,"north_east_and_yorkshire"
"548",2021-06-25,99.2721930307486,99.0012804097311,99.5461422087746,"north_east_and_yorkshire"
"549",2021-06-26,99.4287765317389,99.0857142857143,99.652241887739,"north_east_and_yorkshire"
"550",2021-06-27,99.5211330172549,99.2648860573389,99.7401922577293,"north_east_and_yorkshire"
"551",2021-06-28,99.5792930991825,99.2918192918193,99.778784905925,"north_east_and_yorkshire"
"552",2021-06-29,99.627489195934,99.4169420453088,99.7980194846084,"north_east_and_yorkshire"
"553",2021-06-30,99.6867755715597,99.4358597007604,99.8861047835991,"north_east_and_yorkshire"
"554",2021-07-01,99.6936990470469,99.5076923076923,99.8308310425037,"north_east_and_yorkshire"
"555",2021-07-02,99.7167579292765,99.5611410333134,99.8576367703885,"north_east_and_yorkshire"
"556",2021-07-03,99.7635790635125,99.6191135734072,99.9000666222518,"north_east_and_yorkshire"
"557",2021-07-04,99.8023634201442,99.6610259967731,99.9034053451893,"north_east_and_yorkshire"
"558",2021-07-05,99.8375604512979,99.6960024319805,99.9484270242393,"north_east_and_yorkshire"
"559",2021-07-06,99.8450441525791,99.7313728262406,99.9272541678006,"north_east_and_yorkshire"
"560",2021-07-07,99.8868072463057,99.7876857749469,99.9517704058899,"north_east_and_yorkshire"
"561",2021-07-08,99.8841345870715,99.7998928752071,99.9524714828897,"north_east_and_yorkshire"
"562",2021-07-09,99.9052109381418,99.8151991822115,99.9716533588224,"north_east_and_yorkshire"
"563",2021-07-10,99.9125271171492,99.8441356020262,99.9759990399616,"north_east_and_yorkshire"
"564",2021-07-11,99.9266448922087,99.8499624906227,99.9882670421213,"north_east_and_yorkshire"
"565",2021-07-12,99.9353502643859,99.8620055197792,99.9888143176734,"north_east_and_yorkshire"
"566",2021-07-13,99.9431327809809,99.8843796970748,99.9810498389236,"north_east_and_yorkshire"
"567",2021-07-14,99.9554468344437,99.8869824309052,100,"north_east_and_yorkshire"
"568",2021-07-15,99.9518567640315,99.905769029421,99.9898177375013,"north_east_and_yorkshire"
"569",2021-07-16,99.9602375121372,99.8782185107864,100,"north_east_and_yorkshire"
"570",2021-07-17,99.9682173405685,99.9295345462361,100,"north_east_and_yorkshire"
"571",2021-07-18,99.9714149672132,99.9192390524049,100,"north_east_and_yorkshire"
"572",2021-07-19,99.9734395591737,99.9196879302432,100,"north_east_and_yorkshire"
"573",2021-07-20,99.9762410810736,99.9347173260217,100,"north_east_and_yorkshire"
"574",2021-07-21,99.9757601803515,99.9384312276813,100,"north_east_and_yorkshire"
"575",2021-07-22,99.9788732932524,99.9392300418326,100,"north_east_and_yorkshire"
"576",2021-07-23,99.9791749397972,99.9450549450549,100,"north_east_and_yorkshire"
"577",2021-07-24,99.981717043642,99.9333111037012,100,"north_east_and_yorkshire"
"578",2021-07-25,99.983901393466,99.9521988527725,100,"north_east_and_yorkshire"
"579",2021-07-26,99.9846349449089,99.9445890682911,100,"north_east_and_yorkshire"
"580",2021-07-27,99.9869486867162,99.9592418993275,100,"north_east_and_yorkshire"
"581",2021-07-28,99.9868296546496,99.947039614826,100,"north_east_and_yorkshire"
"582",2021-07-29,99.9914492394485,99.9558985667034,100,"north_east_and_yorkshire"
"583",2021-07-30,99.9702096964974,99.9276585483482,99.9852133395981,"north_east_and_yorkshire"
"584",2021-07-31,99.9730697757676,99.9471039407564,99.984896541308,"north_east_and_yorkshire"
"585",2021-03-08,0,0,0,"north_west"
"586",2021-03-09,0,0,0,"north_west"
"587",2021-03-10,0,0,0,"north_west"
"588",2021-03-11,0,0,0,"north_west"
"589",2021-03-12,0,0,0,"north_west"
"590",2021-03-13,0,0,0,"north_west"
"591",2021-03-14,0,0,0,"north_west"
"592",2021-03-15,0,0,0,"north_west"
"593",2021-03-16,0,0,0,"north_west"
"594",2021-03-17,0,0,0,"north_west"
"595",2021-03-18,0,0,0,"north_west"
"596",2021-03-19,0,0,0,"north_west"
"597",2021-03-20,0,0,0,"north_west"
"598",2021-03-21,0,0,0,"north_west"
"599",2021-03-22,0,0,0,"north_west"
"600",2021-03-23,0,0,0,"north_west"
"601",2021-03-24,0,0,0,"north_west"
"602",2021-03-25,0,0,0,"north_west"
"603",2021-03-26,0,0,0,"north_west"
"604",2021-03-27,0,0,0,"north_west"
"605",2021-03-28,0,0,0,"north_west"
"606",2021-03-29,0.0019806591599048,0,0,"north_west"
"607",2021-03-30,0.00445098271750474,0,0.00280583613916691,"north_west"
"608",2021-03-31,0.0131534504044349,0,0.135869565217395,"north_west"
"609",2021-04-01,0.0534962911063105,0,0.502528365095922,"north_west"
"610",2021-04-02,0.217437575269461,0,0.763358778625955,"north_west"
"611",2021-04-03,0.218178858733171,0,0.747384155455899,"north_west"
"612",2021-04-04,0.297837691015915,0,1.02960102960103,"north_west"
"613",2021-04-05,0.470963752608158,0,1.38312586445366,"north_west"
"614",2021-04-06,0.613320652309064,0,1.40865020149224,"north_west"
"615",2021-04-07,0.947839561035118,0.167504187604695,1.76151761517616,"north_west"
"616",2021-04-08,0.96727259056803,0.145772594752192,2.01470445265409,"north_west"
"617",2021-04-09,1.29062632286896,0.484652665589658,2.64765784114053,"north_west"
"618",2021-04-10,1.788283522749,0.633914421553095,3.41394025604552,"north_west"
"619",2021-04-11,1.9982434728807,0.48939641109299,3.73831775700935,"north_west"
"620",2021-04-12,2.44386250010066,1.17020329293595,4.14993014949449,"north_west"
"621",2021-04-13,2.72200876907591,1.08636844901742,4.61307701642039,"north_west"
"622",2021-04-14,3.60031276276371,1.83908045977011,5.63139931740614,"north_west"
"623",2021-04-15,4.60861930087526,2.51851851851852,7.03971119133574,"north_west"
"624",2021-04-16,4.70701716701539,2.77777777777778,6.4867648948473,"north_west"
"625",2021-04-17,6.30160858690646,3.93586005830904,9.35550935550935,"north_west"
"626",2021-04-18,6.83192173869488,3.85185185185185,9.76909413854352,"north_west"
