"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"sqrtQ",0.255299938361231,0.000111247659733293,0.0189777682305296,0.22126766582103,0.241957827289011,0.254241117338833,0.267377777941482,0.296003565312586,29101.0399725853,0.999573238523808
"susc_scaling",0.821719175284288,0.00236700406632277,0.119973900964145,0.552970880903903,0.741010875905799,0.838424834206383,0.919870930158477,0.992888889335984,2569.06772052317,1.00550184672189
"betas[1]",0.0165249541069888,0.00174988272890925,0.0788440688182658,-0.137934106692228,-0.0363569339318892,0.0161809661419107,0.0688435319572121,0.17277892658412,2030.11278932059,1.00581523940418
"betas[2]",-0.167125527329411,0.00193126986253848,0.0986145962331835,-0.36070742863454,-0.23372230296062,-0.165538184330949,-0.0988917136811281,0.0255056626300306,2607.33284173397,1.00632940150753
"betas[3]",0.0540091410540339,0.00278023336551423,0.111445209081968,-0.163821129128991,-0.0188425797386019,0.0527802619623159,0.128631357294768,0.273663126945612,1606.79438233135,1.01098412638017
"betas[4]",0.0962269771955472,0.00271740905031848,0.0916843990791361,-0.0817581726086277,0.0351482288656298,0.0966917776787333,0.158010233364367,0.273455556033448,1138.36320771887,1.01145458778122
"betas[5]",-0.11435777981744,0.0027791513065969,0.0949639906504004,-0.301554195389391,-0.17822813404187,-0.115650854857819,-0.0503409707289638,0.0693989176886467,1167.59850260678,1.01258737184659
"betas[6]",-0.0220115773776052,0.00266806959252228,0.115673497851907,-0.250466718608781,-0.0990266136778381,-0.021596911253339,0.0523156197304266,0.209413995753718,1879.63459733334,1.00942527918951
"betas[7]",-0.00226124050564419,4.87140431175235e-05,0.00819975466078028,-0.0183306531334827,-0.00780581911530608,-0.0023376017061149,0.00321486624793326,0.0139469689557146,28333.052367902,0.999722073593699
"betas[8]",0.0317789151394054,5.43744909057459e-05,0.00731904542742328,0.0174569079822078,0.0268812864738027,0.0317170198529282,0.0367070356542933,0.0462023347144484,18118.343032622,1.00014859518091
"betas[9]",-0.301001877786127,0.000101525571264548,0.012794229987436,-0.325892463094174,-0.309582227158652,-0.301057935239196,-0.292383048496141,-0.275608595345402,15880.9845349377,1.00036367014933
"betas[10]",0.00372038891764465,4.78866098984334e-05,0.00383786711990219,-0.003841143264189,0.00116774563651377,0.00370237501706972,0.00627159214515335,0.0110958296474792,6423.2035173608,1.00246394983196
"betas[11]",0.291974781855375,0.000162435566165274,0.0252332999685473,0.242455928184302,0.275143814058408,0.292223333935465,0.308694694481957,0.341476561475752,24131.5850053341,0.999544814391119
"betas[12]",0.866283886503799,0.000578836302864125,0.0662010615897984,0.736293023338517,0.821891278117316,0.866646655211243,0.91051645614047,0.997489878417042,13080.320508077,1.00121650437261
"betas[13]",1.14123470591688,0.00141763081092674,0.107963077281702,0.930374019004732,1.06913134222277,1.14213493467989,1.21393117009859,1.35140217741068,5799.94963510337,1.00299085278093
"betas[14]",-0.0125114282253406,0.00175688490758648,0.0660339934791209,-0.141482692900046,-0.0572036398101092,-0.0130183194704473,0.0314118324712764,0.118876857769398,1412.69530193604,1.01393752773129
"betas[15]",-0.0656764551418563,0.00247980235497503,0.0921498654565136,-0.246351028584755,-0.128081626889525,-0.0666643233574038,-0.00419773804777964,0.115840450363102,1380.87788615167,1.01429380407507
"betas[16]",-0.100412335798652,9.04878980512144e-05,0.0112321254520639,-0.122388971311549,-0.10804893031916,-0.10038089612,-0.0927522656291918,-0.0784786050288866,15407.8801193348,1.00038924048634
"beta_random_walk_steps[1]",0.128209576614566,0.00266244615585912,0.158949079033379,-0.121232184750316,0.0101981883500874,0.106106911371145,0.225880572027415,0.482355563424329,3564.13679821311,1.00515601782189
"beta_random_walk_steps[2]",-0.211321212202889,0.000239015365649718,0.0274198991383333,-0.265113391770542,-0.229986440117793,-0.211344530536569,-0.192462313131034,-0.157103507635025,13160.7325319331,1.00086532476276
"beta_random_walk_steps[3]",0.0439158197321971,0.000196637933054144,0.0295478749503756,-0.0138456113716099,0.024114824027116,0.0435541818296265,0.0634022522894225,0.102717486469388,22579.6862874279,0.99974631432212
"beta_random_walk_steps[4]",-0.0701596649521058,0.000199845386730326,0.0314790387157775,-0.132244433500298,-0.091542126794604,-0.0698610139465758,-0.0487959208190233,-0.00834358672058676,24811.5941505176,0.999848872732036
"beta_random_walk_steps[5]",-0.00801477791248827,0.000217009699257905,0.0333878874699026,-0.0741275864325851,-0.030656237457345,-0.00822962292261199,0.0149886525003859,0.0578345928432652,23671.1627819379,1.00026192806205
"beta_random_walk_steps[6]",-0.180433458401309,0.000324004963619387,0.0367662949669665,-0.251369436926586,-0.205703780347197,-0.18045996928217,-0.155363832127381,-0.109040943576913,12876.4577533479,1.00187065610576
"beta_random_walk_steps[7]",0.00758420070728046,0.000328290388789358,0.039404959888894,-0.0704169258169472,-0.0190459130833803,0.00732870390012718,0.0342964506907898,0.0845029498353578,14407.3943308419,1.00169933487368
"beta_random_walk_steps[8]",0.294293792633897,0.000305053431976086,0.0390882306406909,0.2175431854744,0.26743634236335,0.293794372327897,0.320461097350143,0.371301732568485,16418.753915615,1.00059818923834
"beta_random_walk_steps[9]",-0.106002286340342,0.000267058877134616,0.0375262745954821,-0.180566574506539,-0.131477528409518,-0.105655972980111,-0.0797813159306429,-0.0332766668567727,19744.9876763367,1.00018469696574
"beta_random_walk_steps[10]",-0.0178746934655843,0.00024408026677938,0.036299848559655,-0.0878502534861067,-0.0430696944558095,-0.017954099133048,0.00663098110202905,0.0531918330217469,22117.9202474436,1.00061068608381
"beta_random_walk_steps[11]",-0.0762931909917064,0.000247190433522962,0.0342899473409877,-0.143707022748859,-0.0992538808882916,-0.0764427310140068,-0.0524835890118581,-0.00876460140228539,19242.8909177338,1.00080535023926
"beta_random_walk_steps[12]",-0.0447694657099446,0.000222364538504382,0.0325108806788812,-0.107472152860265,-0.0671950457974596,-0.0448541683212928,-0.0231219276161386,0.0186959606900466,21375.9984501223,1.00022531790443
"beta_random_walk_steps[13]",0.0395605289640846,0.000205855972997453,0.0315597841567556,-0.0222244543984789,0.0187298992561498,0.0391240360893936,0.0606011869490691,0.10175892349071,23503.963452882,1.00011769508234
"beta_random_walk_steps[14]",-0.140636118970675,0.000214423558178631,0.0307193120443174,-0.200936896184217,-0.161250334255782,-0.140684795855856,-0.119351763381866,-0.0809871885786755,20524.7546347378,1.00038982643884
"beta_random_walk_steps[15]",0.0824733415477008,0.000263950258613235,0.0293097138021123,0.0258496152044138,0.0625382616713095,0.082367084201552,0.10243438745782,0.139621895875925,12330.451286613,1.00139326921237
"beta_random_walk_steps[16]",0.470198445329187,0.000182078859622453,0.0270546601501969,0.417672011409096,0.451949543828199,0.470386144606652,0.488442892068071,0.523640656911492,22078.273875161,1.00025356896091
