"scenario","mean_total","lower_total","upper_total"
"Model Fit",10927028.4273203,10059875,11823298.025
"High IMD",15581329.0533103,10742260.2618867,22835160.5381341
"Low IMD",8541087.57237873,6733431.3461199,11069918.7861079
