areaCode,areaName,areaType,date,variant,cumWeeklySequenced,newWeeklyPercentage
E12000001,North East,region,2022-09-11,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-09-11,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-09-11,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-09-11,V-22OCT-01 (Omicron BQ.1),114665.0,7.5
E12000001,North East,region,2022-09-11,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-09-11,VOC-22APR-03 (Omicron BA.4),114665.0,2.0
E12000001,North East,region,2022-09-11,VOC-22APR-04 (Omicron BA.5),114665.0,78.8
E12000001,North East,region,2022-09-11,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-09-04,Other,114519.0,17.9
E12000001,North East,region,2022-09-04,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-09-04,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-09-04,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-09-04,V-22OCT-01 (Omicron BQ.1),114519.0,7.8
E12000001,North East,region,2022-09-04,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-09-04,VOC-22APR-03 (Omicron BA.4),114519.0,3.9
E12000001,North East,region,2022-09-04,VOC-22APR-04 (Omicron BA.5),114519.0,70.4
E12000001,North East,region,2022-09-04,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-08-28,Other,114340.0,4.9
E12000001,North East,region,2022-08-28,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-08-28,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-08-28,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-08-28,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-08-28,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-08-28,VOC-22APR-03 (Omicron BA.4),114340.0,2.9
E12000001,North East,region,2022-08-28,VOC-22APR-04 (Omicron BA.5),114340.0,91.2
E12000001,North East,region,2022-08-28,VOC-22JAN-01 (Omicron BA.2),114340.0,1.0
E12000001,North East,region,2022-08-21,Other,114238.0,9.3
E12000001,North East,region,2022-08-21,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-08-21,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-08-21,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-08-21,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-08-21,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-08-21,VOC-22APR-03 (Omicron BA.4),114238.0,2.3
E12000001,North East,region,2022-08-21,VOC-22APR-04 (Omicron BA.5),114238.0,88.4
